n1=32 n2=32 n3=32 nreps=100 num_threads=24 HALF_LENGTH=4
n1_thrd_block=32 n2_thrd_block=1 n3_thrd_block=124
allocating prev, next and vel: total 0.375046 Mbytes
rank:0(0 22 0):0.088399
rank:0(1 22 0):0.885939
rank:0(2 22 0):0.868951
rank:0(3 22 0):0.053053
rank:0(4 22 0):-0.811621
rank:0(5 22 0):-0.930095
rank:0(6 22 0):-0.193444
rank:0(7 22 0):0.721059
rank:0(8 22 0):0.972623
rank:0(9 22 0):0.329962
rank:0(10 22 0):-0.616064
rank:0(11 22 0):-0.995684
rank:0(12 22 0):-0.459877
rank:0(13 22 0):0.498739
rank:0(14 22 0):0.998817
rank:0(15 22 0):0.580587
rank:0(16 22 0):-0.371432
rank:0(17 22 0):-0.981958
rank:0(18 22 0):-0.689676
rank:0(19 22 0):0.236691
rank:0(20 22 0):0.945445
rank:0(21 22 0):0.784962
rank:0(22 22 0):-0.097212
rank:0(23 22 0):-0.890009
rank:0(24 22 0):-0.864536
rank:0(25 22 0):-0.044213
rank:0(26 22 0):0.816760
rank:0(27 22 0):0.926807
rank:0(28 22 0):0.184752
rank:0(29 22 0):-0.727163
rank:0(30 22 0):-0.970528
rank:0(31 22 0):-0.321594
rank:0(0 23 0):-0.616064
rank:0(1 23 0):-0.995684
rank:0(2 23 0):-0.459877
rank:0(3 23 0):0.498739
rank:0(4 23 0):0.998817
rank:0(5 23 0):0.580587
rank:0(6 23 0):-0.371432
rank:0(7 23 0):-0.981958
rank:0(8 23 0):-0.689676
rank:0(9 23 0):0.236691
rank:0(10 23 0):0.945445
rank:0(11 23 0):0.784962
rank:0(12 23 0):-0.097212
rank:0(13 23 0):-0.890009
rank:0(14 23 0):-0.864536
rank:0(15 23 0):-0.044213
rank:0(16 23 0):0.816760
rank:0(17 23 0):0.926807
rank:0(18 23 0):0.184752
rank:0(19 23 0):-0.727163
rank:0(20 23 0):-0.970528
rank:0(21 23 0):-0.321594
rank:0(22 23 0):0.623012
rank:0(23 23 0):0.994824
rank:0(24 23 0):0.451999
rank:0(25 23 0):-0.506392
rank:0(26 23 0):-0.999208
rank:0(27 23 0):-0.573357
rank:0(28 23 0):0.379636
rank:0(29 23 0):0.983593
rank:0(30 23 0):0.683240
rank:0(31 23 0):-0.245281
rank:0(0 24 0):0.945445
rank:0(1 24 0):0.784962
rank:0(2 24 0):-0.097212
rank:0(3 24 0):-0.890009
rank:0(4 24 0):-0.864536
rank:0(5 24 0):-0.044213
rank:0(6 24 0):0.816760
rank:0(7 24 0):0.926807
rank:0(8 24 0):0.184752
rank:0(9 24 0):-0.727163
rank:0(10 24 0):-0.970528
rank:0(11 24 0):-0.321594
rank:0(12 24 0):0.623012
rank:0(13 24 0):0.994824
rank:0(14 24 0):0.451999
rank:0(15 24 0):-0.506392
rank:0(16 24 0):-0.999208
rank:0(17 24 0):-0.573357
rank:0(18 24 0):0.379636
rank:0(19 24 0):0.983593
rank:0(20 24 0):0.683240
rank:0(21 24 0):-0.245281
rank:0(22 24 0):-0.948292
rank:0(23 24 0):-0.779447
rank:0(24 24 0):0.106017
rank:0(25 24 0):0.894010
rank:0(26 24 0):0.860054
rank:0(27 24 0):0.035368
rank:0(28 24 0):-0.821835
rank:0(29 24 0):-0.923447
rank:0(30 24 0):-0.176046
rank:0(31 24 0):0.733211
rank:0(0 25 0):-0.970528
rank:0(1 25 0):-0.321594
rank:0(2 25 0):0.623012
rank:0(3 25 0):0.994824
rank:0(4 25 0):0.451999
rank:0(5 25 0):-0.506392
rank:0(6 25 0):-0.999208
rank:0(7 25 0):-0.573357
rank:0(8 25 0):0.379636
rank:0(9 25 0):0.983593
rank:0(10 25 0):0.683240
rank:0(11 25 0):-0.245281
rank:0(12 25 0):-0.948292
